date,steps,distance,runDistance,calories
2020-08-28,3650,2555,183,79
2020-08-29,4543,3157,204,101
2020-08-30,11648,8087,582,247
2020-08-31,3354,2320,164,74
2020-09-01,7511,5200,407,156
2020-09-02,8221,5740,513,190
2020-09-03,6579,4563,360,152
2020-09-04,11731,8457,385,276
2020-09-05,5511,3812,320,116
2020-09-06,8239,5706,469,189
2020-09-07,7019,4880,481,156
2020-09-08,5368,3714,281,112
2020-09-09,6483,4496,347,138
2020-09-10,7335,5119,438,161
2020-09-11,6386,4434,319,137
2020-09-12,7868,5473,390,165
2020-09-13,5887,4089,268,129
2020-09-14,3153,2181,214,66
2020-09-15,4395,3040,308,98
2020-09-16,7447,5188,357,154
2020-09-17,5016,3493,452,113
2020-09-18,9834,6872,322,210
2020-09-19,9014,6258,483,196
2020-09-20,4049,2801,224,87
2020-09-21,5707,3962,357,133
2020-09-22,4641,3224,301,106
2020-09-23,6257,4328,295,138
2020-09-24,7382,5134,345,150
2020-09-25,6953,4826,526,149
2020-09-26,4483,3113,409,103
2020-09-27,8166,5655,497,180
2020-09-28,4977,3451,299,111
2020-09-29,4300,2978,201,93
2020-09-30,5698,3963,508,130
2020-10-01,5116,3545,454,120
2020-10-02,7135,4952,439,162
2020-10-03,6637,4592,349,138
2020-10-04,11600,8194,531,268
2020-10-05,4201,2917,202,95
2020-10-06,4626,3203,329,99
2020-10-07,5177,3585,342,110
2020-10-08,12061,8483,475,268
2020-10-09,9683,6727,514,205
2020-10-10,11021,7818,467,250
2020-10-11,7044,4890,288,148
2020-10-12,4366,3023,323,90
2020-10-13,5306,3681,258,120
2020-10-14,5569,3858,430,121
2020-10-15,6751,4705,299,143
2020-10-16,5626,3921,341,124
2020-10-17,5008,3466,247,115
2020-10-18,6236,4332,465,141
2020-10-19,3394,2353,214,80
2020-10-20,7587,5287,394,176
2020-10-21,3092,2139,208,69
2020-10-22,5833,4040,287,127
2020-10-23,5291,3666,381,121
2020-10-24,6235,4347,418,149
2020-10-25,8697,6072,466,193
2020-10-26,4342,3006,176,89
2020-10-27,5537,3871,523,126
2020-10-28,6258,4345,417,142
2020-10-29,9196,6383,574,200
2020-10-30,9557,7073,314,235
2020-10-31,3914,2707,291,86
2020-11-01,7747,5361,287,169
2020-11-02,3106,2150,201,71
2020-11-03,5203,3599,287,114
2020-11-04,3072,2125,189,67
2020-11-05,3161,2187,273,73
2020-11-06,3021,2090,193,68
2020-11-07,13617,10199,353,348
2020-11-08,3011,2157,399,75
2020-11-09,3602,2492,204,79
2020-11-10,5087,3519,272,113
2020-11-11,3186,2204,259,75
2020-11-12,3094,2140,242,68
2020-11-13,3473,2420,331,81
2020-11-14,3710,2566,251,89
2020-11-15,5508,3889,277,123
2020-11-16,3683,2548,189,85
2020-11-17,3143,2185,192,70
